id;id_parent;nom
546;95;SPECIALITES  ALSACIENNES
547;95;TERRINE DE LA MER
548;95;VOLAILLE TRAITEUR LIB.SERV.
549;95;SALADES TRAITEUR LIB.SERV
550;95;SALADES REPAS LIB.SERV
551;95;SALADES TRAITEUR LONGUE CONSERVATION
552;95;SANDWICH
553;95;ENTREES - RILLETTES DE LA MER
554;95;ENTREES TRAITEUR LIB.SERV
555;95;CROQUE MONSIEUR TRAITEUR LIB.SERV
556;95;PLATS CUISINES BARQUETTES
557;95;CREPES ET GALETTES TRAITEUR LIB.SERV
558;95;SNACKING CHAUD
559;95;PIZZAS TRAITEUR LIB.SERV
560;95;BARQUETTES PLATS CUISINES LONGUE CONSERVATION
561;95;SURIMI
562;95;PLATS CUISINES WEIGHT WATCHER
563;95;PLATS CUISINES BOX
564;95;POISSON PANE
565;95;STEAK DE POISSON
566;96;-
567;97;-
568;98;VOLAILLE CUITE-GRIGNOTAGE
569;98;CANARD GRAS & CONFITS
570;98;VOLAILLE ENTIERE
571;98;VOLAILLE HALAL
572;98;DECOUPE DE POULET LIB.SERV.
573;98;DECOUPE DE DINDE LIB.SERV
574;99;-
575;100;YAOURT AROMATISE POT CARTON
576;100;-
577;100;YAOURT AROMATISE BIFIDUS
578;100;YAOURT AROMATISE POT EN VERRE
579;100;YAOURT AROMATISE ENFANT
580;100;YAOURT AROMATISE ALLEGE
581;100;YAOURT GRAND FORMAT
582;101;-
583;102;SPECIALITES VEGETAL
584;102;YAOURT FRUITS LAIT 1/2 ECREME
585;102;YAOURT AUX FRUITS LAIT ENTIER
586;102;YAOURT AUX FRUITS ALLEGES
587;102;YAOURT AUX FRUITS BI-COUCHES
588;103;-
589;104;-
590;104;YAOURT NATURE ALLEGE
591;104;YAOURT BIFIDUS
592;104;YAOURT BRASSE
593;104;YAOURT POT EN VERRE
594;105;-
595;106;-
596;107;-
597;108;-
598;109;-
599;110;-
600;111;-
601;112;-
602;113;-
603;113;GLACE A L'UNITÉ
604;114;-
605;115;-
606;116;-
607;117;-
608;118;-
609;119;-
610;120;UNE OU DEUX PERSONNES
611;121;-
612;122;-
613;123;-
614;124;-
615;125;-
616;126;-
617;126;HALAL
618;127;LES FLASK 20CL
619;127;LES APÉRITIFS SANS ALCOOL
620;127;LES RHUMS & SIROPS DE CANNE
621;127;LES ANISÉS
622;127;LES A.B.V & VERMOUTH
623;127;LES PORTOS
624;127;LES VINS DOUX
625;127;LES COCKTAILS & LIQUEURS
626;127;LES CRÈMES DE FRUITS
627;127;LES PUNCHS & TEQUILA
628;127;LES DEMI-BOUTEILLES
629;127;LES VODKA
630;127;LES GIN
631;127;LES WHISKY STANDARDS
632;127;LES WHISKY D'ÂGE & PUR MALT
633;127;LES BOURBONS - WHISKEY CANADIEN-IRLANDAIS-JAPONAIS
634;127;LES WHISKY AROMATISES
635;128;LES PACKS DE BIÈRES TRADITIONNELLES
636;128;LES BOÎTES DE BIÈRES 33CL
637;128;LES BIÈRES SANS ALCOOL
638;128;LES BOÎTES DE BIÈRES 50CL/PET
639;128;LES PACKS DE BIÈRES D'ABBAYE
640;128;LES PACK DE BIÈRES SPÉCIALES
641;128;LA CAVE DE BIÈRE
642;128;LES PACKS DE BIÈRES DE LUXE
643;128;LES BIÈRES 1/2 PALETTE
644;128;LES PANACHÉS
645;129;LES PACKS
646;129;LES BOÎTES
647;129;LES BOUTEILLES DE BOISSONS AU THÉ
648;129;LES BOUTEILLES DE BOISSONS AUX FRUITS
649;129;LES BOÎTES DE BOISSONS AU THÉ
650;129;LES BOISSONS ISOTONIQUE & ÉNERGISANTE & ALOE VERA
651;130;LES BOISSONS AUX FRUITS & AU THÉ
652;130;LES JUS DE FRUITS
653;131;-
654;132;LES BOUTEILLES DE LIMONADE
655;132;LES PACKS
656;132;LES BOUTEILLES DE SODAS
657;132;LES BOÎTES
658;132;LES BOUTEILLES DE COLA
659;132;SODA MINI-PAL
660;133;LES EAUX AROMATISÉES
661;133;LES PACKS DE PETITES BOUTEILLES D'EAUX PLATES
662;133;LES EAUX PLATES EN PACKS & CARTONS
663;133;LES EAUX PLATES EN PALETTES & MINI-PALETTES
664;133;LES PACKS DE PETITES BOUTEILLES D'EAUX GAZEUSES
665;133;LES EAUX GAZEUSES EN PACKS & CARTONS
666;133;LES EAUX GAZEUSES EN PALETTES & MINI-PALETTES
667;134;LES BOISSONS AU JUS DE FRUITS
668;134;LES SIROPS
669;134;LES JUS DE FRUITS EN BRIQUES
670;134;JUS BOCAL BIO
671;134;LES JUS DE LÉGUMES
672;134;LES JUS DE FRUITS EN BOUTEILLES
673;135;LES CHAMPAGNES
674;135;LES MOUSSEUX
675;136;GRANDS CONTENANTS
676;136;I.G.P ROUGE
677;136;VINS ETRANGERS
678;136;BOUTEILLES 75CL.
679;136;VINS DE CEPAGE
680;136;LITRE VERRE
681;136;VIN DE TABLE PLASTIQUE/BRIQUE
682;136;VIN DE TABLE 25CL
683;136;I.G.P BLANC
684;136;I.G.P ROSÉ
685;137;VAL DE LOIRE BLANC
686;137;VIN AROMATISÉ
687;137;BOURGOGNE BLANC
688;137;BORDEAUX BLANCS LIQUOREUX
689;137;BLANC LIQUOREUX SUD-OUEST
690;137;VINS BLANCS DU SUD OUEST
691;137;COTES DU RHONE BLANC
692;137;BORDEAUX BLANC
693;137;LANGUEDOC ROUSILLON BLANC
694;137;ALSACE BLANC
695;137;SAVOIE & JURA BLANC
696;138;VIN ISSU DE L'AGRICULTURE BIOLOGIQUE
697;138;DEMIS BOUTEILLES-1/4 AOP
698;138;VIN SANS SULFITES
699;138;GAMME CAVE A VINS
700;139;PROVENCE ROSE/CORSE
701;139;BORDEAUX ROSES
702;139;VINS SUD OUEST ROSE
703;139;VAL DE LOIRE ROSE
704;139;COTES DU RHONE ROSE
705;139;LANGUEDOC ROUSILLON ROSE
706;140;BORDEAUX ROUGE AOP
707;140;COTES DU RHONE
708;140;BOURGOGNE ROUGE
709;140;VINS DU SUD OUEST
710;140;HAUT-MEDOC
711;140;BORDEAUX SUPERIEUR
712;140;VAL DE LOIRE ROUGE
713;140;SAINT EMILION
714;140;MEDOC
715;140;PESSAC LEOGNAN/GRAVES
716;140;CANON FRONSAC
717;140;LANGUEDOC ROUSILLON ROUGE
718;140;MOULIS
719;140;COTES DE BORDEAUX
720;140;LISTRAC
721;140;BEAUJOLAIS/MACONNAIS
722;140;LALANDE / POMEROL
723;140;PROVENCE ROUGE
724;141;SAUCISSES-SAUCISSONS
725;141;LES JAMBONS
726;141;ACCOMPAGNEMENT RACLETTE
727;141;VIANDE CUITE AU BOUILLON
728;142;SPECIALITES LAIT DE VACHE
729;142;BRIE
730;142;CANTAL
731;142;PATES PRESSEES
732;142;FROMAGES ITALIEN
733;142;FROMAGE DE BREBIS/BASQUES
734;142;PATES PERSILLEE
735;143;LES SALADES
736;144;-
737;145;-
738;146;DIVERS
739;146;LES PANSEMENTS & COMPRESSES
740;146;LES DÉSINFECTANTS
741;146;SOIN DES PIEDS
742;147;LES COTONS
743;147;LES MOUCHOIRS
744;147;LES PAPIERS TOILETTE
745;148;L'HYGIÈNE INTIME
746;148;LES TAMPONS HYGIÈNIQUES
747;148;LES SERVIETTES HYGIÈNIQUES
748;148;LES SERVIETTES POUR INCONTINENCE
749;148;LES PROTÈGES SLIPS
750;149;-
751;150;LES DENTIFRICES EN TUBE
752;150;LES BROSSE À DENTS
753;150;DIVERS SOINS DENTAIRES
754;150;LES DENTIFRICES EN DOSEUR
755;151;POUR LES CHEVEUX
756;151;POUR LE CORPS
757;151;POUR LES DENTS
758;152;LES SOINS DES MAINS & DES ONGLES
759;152;LE SOIN DU CORPS
760;152;LE SOIN DU VISAGE
761;152;CRÈME DÉPILATOIRE, RASAGE & ACCESSOIRES ÉPILATION
762;152;LES DÉODORANTS
763;152;LES EAUX DE COLOGNE
764;152;LE MAQUILLAGE
