reference;Unite par carton;prix_unite;prix_final;weight;volume;NB carton/palette;DLV Theorique;DLV Garantie
27607;20;0.6494;12.988;5.32;0.0234;48;330;120
29603;12;0.6305;7.566;4.23;0.01426;65;330;120
26740;12;0.6157;7.3884;8.52;0.01426;65;330;120
29983;12;1.3631;16.3572;2.71;0.011664;72;240;120
29900;16;0.7999;12.7984;2.81;0.00874;100;270;120
29926;16;0.7999;12.7984;2.81;0.00874;100;270;120
29884;16;0.7747;12.3952;2.81;0.00874;100;270;120
33605;12;1.2536;15.0432;3.3;0.01248;72;240;120
30387;16;0.7999;12.7984;2.7;0.00912;100;240;120
29868;16;0.7747;12.3952;2.66;0.00864;100;210;120
26542;10;1.6136;16.136;2.85;0.009842;72;240;120
27003;8;1.4231;11.3848;2.38;0.010179;96;240;120
26187;12;1.6715;20.058;3.9;0.010925;114;150;90
26260;12;0.8841;10.6092;6.6;0.022011;65;180;120
27920;12;1.4515;17.418;6.6;0.01904;48;180;120
27961;12;1.5294;18.3528;2;0.004693;90;360;120
29504;12;1.0652;12.7824;4.5;0.0152;108;180;120
30445;12;1.501;18.012;4.26;0.013616;90;150;90
28621;6;1.9083;11.4498;3.3;0.018375;77;40;30
28662;6;1.9083;11.4498;2.4;0.018375;77;40;30
29843;8;1.9073;15.2584;2;0.018009;96;180;90
33662;10;1.7083;17.083;2.3;0.012168;81;200;120
33688;12;1.522;18.264;2.2;0.01768;81;200;120
33704;6;1.9799;11.8794;1.5;0.01728;144;150;90
22640;8;1.8852;15.0816;3.8;0.00897;110;180;90
22665;8;1.3389;10.7112;2.8;0.0084;96;180;90
22681;6;1.6483;9.8898;2.5;0.01248;80;180;90
22889;10;0.5157;5.157;2.2;0.01248;100;120;80
23721;12;1.4252;17.1024;5.94;0.0368;48;80;60
43729;8;1.3231;10.5848;3.51;0.0144;120;120;90
43323;12;0.7357;8.8284;2.28;0.01122;110;120;80
43620;8;1.2789;10.2312;2.6;0.008512;104;120;80
43521;8;0.9441;7.5528;2.024;0.0304;60;120;80
43604;6;1.4957;8.9742;1.6;0.011628;168;110;80
83261;8;1.1915;9.532;2.17;0.019152;48;180;120
81166;12;0.6947;8.3364;1.9;0.025346;64;240;180
81141;12;0.6947;8.3364;1.84;0.0276;48;360;120
81125;8;1.1915;9.532;1.64;0.00972;162;240;180
44446;12;0.8557;10.2684;3.4;0.02808;72;105;75
44461;12;0.8557;10.2684;3.4;0.02808;72;105;75
81265;12;0.582;6.984;1.9;0.025346;64;240;180
81349;16;0.8957;14.3312;1.64;0.00972;162;240;180
83360;12;1.3789;16.5468;2.17;0.019152;48;180;120
83386;12;0.4957;5.9484;1.75;0.020358;48;180;120
83402;12;1.1683;14.0196;2.29;0.0132;63;180;120
30023;8;2.1694;17.3552;2.4;0.024;30;70;45
38703;7;0.7283;5.0981;2.7;0.010816;192;90;50
38729;7;0.7168;5.0176;2.7;0.0084;192;90;60
38745;7;0.7168;5.0176;2.7;0.008533;175;90;60
38802;16;1.0736;17.1776;3.03;0.0174;70;180;120
38828;16;1.1168;17.8688;3.09;0.014352;70;180;120
32169;16;0.6536;10.4576;4.2;0.02304;80;210;120
